"Notes","County of Residence","County of Residence Code","Month","Month Code",Births
,"Alameda County, CA","06001","January","1",1244
,"Alameda County, CA","06001","February","2",1210
,"Alameda County, CA","06001","March","3",1364
,"Alameda County, CA","06001","April","4",1272
,"Alameda County, CA","06001","May","5",1387
,"Alameda County, CA","06001","June","6",1298
,"Alameda County, CA","06001","July","7",1412
,"Alameda County, CA","06001","August","8",1364
,"Alameda County, CA","06001","September","9",1358
,"Alameda County, CA","06001","October","10",1408
,"Alameda County, CA","06001","November","11",1319
,"Alameda County, CA","06001","December","12",1387
"Total","Alameda County, CA","06001",,,16023
,"Butte County, CA","06007","January","1",192
,"Butte County, CA","06007","February","2",156
,"Butte County, CA","06007","March","3",158
,"Butte County, CA","06007","April","4",158
,"Butte County, CA","06007","May","5",162
,"Butte County, CA","06007","June","6",161
,"Butte County, CA","06007","July","7",148
,"Butte County, CA","06007","August","8",182
,"Butte County, CA","06007","September","9",183
,"Butte County, CA","06007","October","10",162
,"Butte County, CA","06007","November","11",163
,"Butte County, CA","06007","December","12",161
"Total","Butte County, CA","06007",,,1986
,"Contra Costa County, CA","06013","January","1",852
,"Contra Costa County, CA","06013","February","2",886
,"Contra Costa County, CA","06013","March","3",878
,"Contra Costa County, CA","06013","April","4",869
,"Contra Costa County, CA","06013","May","5",914
,"Contra Costa County, CA","06013","June","6",920
,"Contra Costa County, CA","06013","July","7",926
,"Contra Costa County, CA","06013","August","8",971
,"Contra Costa County, CA","06013","September","9",939
,"Contra Costa County, CA","06013","October","10",1013
,"Contra Costa County, CA","06013","November","11",834
,"Contra Costa County, CA","06013","December","12",886
"Total","Contra Costa County, CA","06013",,,10888
,"El Dorado County, CA","06017","January","1",108
,"El Dorado County, CA","06017","February","2",132
,"El Dorado County, CA","06017","March","3",121
,"El Dorado County, CA","06017","April","4",130
,"El Dorado County, CA","06017","May","5",136
,"El Dorado County, CA","06017","June","6",144
,"El Dorado County, CA","06017","July","7",143
,"El Dorado County, CA","06017","August","8",136
,"El Dorado County, CA","06017","September","9",118
,"El Dorado County, CA","06017","October","10",134
,"El Dorado County, CA","06017","November","11",114
,"El Dorado County, CA","06017","December","12",108
"Total","El Dorado County, CA","06017",,,1524
,"Fresno County, CA","06019","January","1",1064
,"Fresno County, CA","06019","February","2",1007
,"Fresno County, CA","06019","March","3",1086
,"Fresno County, CA","06019","April","4",1017
,"Fresno County, CA","06019","May","5",1057
,"Fresno County, CA","06019","June","6",1094
,"Fresno County, CA","06019","July","7",1175
,"Fresno County, CA","06019","August","8",1208
,"Fresno County, CA","06019","September","9",1157
,"Fresno County, CA","06019","October","10",1191
,"Fresno County, CA","06019","November","11",1046
,"Fresno County, CA","06019","December","12",1135
"Total","Fresno County, CA","06019",,,13237
,"Imperial County, CA","06025","January","1",203
,"Imperial County, CA","06025","February","2",189
,"Imperial County, CA","06025","March","3",179
,"Imperial County, CA","06025","April","4",175
,"Imperial County, CA","06025","May","5",159
,"Imperial County, CA","06025","June","6",152
,"Imperial County, CA","06025","July","7",170
,"Imperial County, CA","06025","August","8",182
,"Imperial County, CA","06025","September","9",204
,"Imperial County, CA","06025","October","10",167
,"Imperial County, CA","06025","November","11",192
,"Imperial County, CA","06025","December","12",217
"Total","Imperial County, CA","06025",,,2189
,"Kern County, CA","06029","January","1",1028
,"Kern County, CA","06029","February","2",858
,"Kern County, CA","06029","March","3",993
,"Kern County, CA","06029","April","4",900
,"Kern County, CA","06029","May","5",945
,"Kern County, CA","06029","June","6",966
,"Kern County, CA","06029","July","7",981
,"Kern County, CA","06029","August","8",1104
,"Kern County, CA","06029","September","9",1038
,"Kern County, CA","06029","October","10",961
,"Kern County, CA","06029","November","11",986
,"Kern County, CA","06029","December","12",1003
"Total","Kern County, CA","06029",,,11763
,"Kings County, CA","06031","January","1",191
,"Kings County, CA","06031","February","2",170
,"Kings County, CA","06031","March","3",170
,"Kings County, CA","06031","April","4",172
,"Kings County, CA","06031","May","5",188
,"Kings County, CA","06031","June","6",171
,"Kings County, CA","06031","July","7",180
,"Kings County, CA","06031","August","8",201
,"Kings County, CA","06031","September","9",210
,"Kings County, CA","06031","October","10",173
,"Kings County, CA","06031","November","11",186
,"Kings County, CA","06031","December","12",165
"Total","Kings County, CA","06031",,,2177
,"Los Angeles County, CA","06037","January","1",7345
,"Los Angeles County, CA","06037","February","2",7045
,"Los Angeles County, CA","06037","March","3",7475
,"Los Angeles County, CA","06037","April","4",7123
,"Los Angeles County, CA","06037","May","5",7352
,"Los Angeles County, CA","06037","June","6",7183
,"Los Angeles County, CA","06037","July","7",7748
,"Los Angeles County, CA","06037","August","8",8243
,"Los Angeles County, CA","06037","September","9",7802
,"Los Angeles County, CA","06037","October","10",8031
,"Los Angeles County, CA","06037","November","11",7498
,"Los Angeles County, CA","06037","December","12",7662
"Total","Los Angeles County, CA","06037",,,90507
,"Madera County, CA","06039","January","1",173
,"Madera County, CA","06039","February","2",141
,"Madera County, CA","06039","March","3",145
,"Madera County, CA","06039","April","4",167
,"Madera County, CA","06039","May","5",195
,"Madera County, CA","06039","June","6",192
,"Madera County, CA","06039","July","7",165
,"Madera County, CA","06039","August","8",227
,"Madera County, CA","06039","September","9",190
,"Madera County, CA","06039","October","10",203
,"Madera County, CA","06039","November","11",170
,"Madera County, CA","06039","December","12",167
"Total","Madera County, CA","06039",,,2135
,"Marin County, CA","06041","January","1",161
,"Marin County, CA","06041","February","2",172
,"Marin County, CA","06041","March","3",188
,"Marin County, CA","06041","April","4",172
,"Marin County, CA","06041","May","5",171
,"Marin County, CA","06041","June","6",156
,"Marin County, CA","06041","July","7",175
,"Marin County, CA","06041","August","8",187
,"Marin County, CA","06041","September","9",165
,"Marin County, CA","06041","October","10",174
,"Marin County, CA","06041","November","11",149
,"Marin County, CA","06041","December","12",171
"Total","Marin County, CA","06041",,,2041
,"Merced County, CA","06047","January","1",327
,"Merced County, CA","06047","February","2",286
,"Merced County, CA","06047","March","3",295
,"Merced County, CA","06047","April","4",294
,"Merced County, CA","06047","May","5",286
,"Merced County, CA","06047","June","6",298
,"Merced County, CA","06047","July","7",315
,"Merced County, CA","06047","August","8",339
,"Merced County, CA","06047","September","9",367
,"Merced County, CA","06047","October","10",330
,"Merced County, CA","06047","November","11",293
,"Merced County, CA","06047","December","12",326
"Total","Merced County, CA","06047",,,3756
,"Monterey County, CA","06053","January","1",408
,"Monterey County, CA","06053","February","2",420
,"Monterey County, CA","06053","March","3",421
,"Monterey County, CA","06053","April","4",432
,"Monterey County, CA","06053","May","5",457
,"Monterey County, CA","06053","June","6",458
,"Monterey County, CA","06053","July","7",451
,"Monterey County, CA","06053","August","8",471
,"Monterey County, CA","06053","September","9",429
,"Monterey County, CA","06053","October","10",409
,"Monterey County, CA","06053","November","11",407
,"Monterey County, CA","06053","December","12",408
"Total","Monterey County, CA","06053",,,5171
,"Napa County, CA","06055","January","1",83
,"Napa County, CA","06055","February","2",84
,"Napa County, CA","06055","March","3",85
,"Napa County, CA","06055","April","4",94
,"Napa County, CA","06055","May","5",83
,"Napa County, CA","06055","June","6",98
,"Napa County, CA","06055","July","7",78
,"Napa County, CA","06055","August","8",98
,"Napa County, CA","06055","September","9",94
,"Napa County, CA","06055","October","10",98
,"Napa County, CA","06055","November","11",93
,"Napa County, CA","06055","December","12",116
"Total","Napa County, CA","06055",,,1104
,"Orange County, CA","06059","January","1",2469
,"Orange County, CA","06059","February","2",2430
,"Orange County, CA","06059","March","3",2573
,"Orange County, CA","06059","April","4",2448
,"Orange County, CA","06059","May","5",2578
,"Orange County, CA","06059","June","6",2523
,"Orange County, CA","06059","July","7",2721
,"Orange County, CA","06059","August","8",2735
,"Orange County, CA","06059","September","9",2643
,"Orange County, CA","06059","October","10",2762
,"Orange County, CA","06059","November","11",2451
,"Orange County, CA","06059","December","12",2593
"Total","Orange County, CA","06059",,,30926
,"Placer County, CA","06061","January","1",319
,"Placer County, CA","06061","February","2",308
,"Placer County, CA","06061","March","3",324
,"Placer County, CA","06061","April","4",320
,"Placer County, CA","06061","May","5",330
,"Placer County, CA","06061","June","6",305
,"Placer County, CA","06061","July","7",368
,"Placer County, CA","06061","August","8",352
,"Placer County, CA","06061","September","9",344
,"Placer County, CA","06061","October","10",361
,"Placer County, CA","06061","November","11",309
,"Placer County, CA","06061","December","12",312
"Total","Placer County, CA","06061",,,3952
,"Riverside County, CA","06065","January","1",2265
,"Riverside County, CA","06065","February","2",2088
,"Riverside County, CA","06065","March","3",2338
,"Riverside County, CA","06065","April","4",2064
,"Riverside County, CA","06065","May","5",2083
,"Riverside County, CA","06065","June","6",2074
,"Riverside County, CA","06065","July","7",2361
,"Riverside County, CA","06065","August","8",2447
,"Riverside County, CA","06065","September","9",2377
,"Riverside County, CA","06065","October","10",2420
,"Riverside County, CA","06065","November","11",2203
,"Riverside County, CA","06065","December","12",2262
"Total","Riverside County, CA","06065",,,26982
,"Sacramento County, CA","06067","January","1",1472
,"Sacramento County, CA","06067","February","2",1300
,"Sacramento County, CA","06067","March","3",1379
,"Sacramento County, CA","06067","April","4",1336
,"Sacramento County, CA","06067","May","5",1407
,"Sacramento County, CA","06067","June","6",1471
,"Sacramento County, CA","06067","July","7",1566
,"Sacramento County, CA","06067","August","8",1593
,"Sacramento County, CA","06067","September","9",1475
,"Sacramento County, CA","06067","October","10",1500
,"Sacramento County, CA","06067","November","11",1422
,"Sacramento County, CA","06067","December","12",1518
"Total","Sacramento County, CA","06067",,,17439
,"San Bernardino County, CA","06071","January","1",2111
,"San Bernardino County, CA","06071","February","2",1972
,"San Bernardino County, CA","06071","March","3",2043
,"San Bernardino County, CA","06071","April","4",1981
,"San Bernardino County, CA","06071","May","5",2082
,"San Bernardino County, CA","06071","June","6",2011
,"San Bernardino County, CA","06071","July","7",2126
,"San Bernardino County, CA","06071","August","8",2257
,"San Bernardino County, CA","06071","September","9",2303
,"San Bernardino County, CA","06071","October","10",2214
,"San Bernardino County, CA","06071","November","11",2067
,"San Bernardino County, CA","06071","December","12",2117
"Total","San Bernardino County, CA","06071",,,25284
,"San Diego County, CA","06073","January","1",2920
,"San Diego County, CA","06073","February","2",2832
,"San Diego County, CA","06073","March","3",2985
,"San Diego County, CA","06073","April","4",2869
,"San Diego County, CA","06073","May","5",2926
,"San Diego County, CA","06073","June","6",2874
,"San Diego County, CA","06073","July","7",3065
,"San Diego County, CA","06073","August","8",3236
,"San Diego County, CA","06073","September","9",3110
,"San Diego County, CA","06073","October","10",3216
,"San Diego County, CA","06073","November","11",2952
,"San Diego County, CA","06073","December","12",2946
"Total","San Diego County, CA","06073",,,35931
,"San Francisco County, CA","06075","January","1",534
,"San Francisco County, CA","06075","February","2",505
,"San Francisco County, CA","06075","March","3",595
,"San Francisco County, CA","06075","April","4",535
,"San Francisco County, CA","06075","May","5",571
,"San Francisco County, CA","06075","June","6",573
,"San Francisco County, CA","06075","July","7",603
,"San Francisco County, CA","06075","August","8",609
,"San Francisco County, CA","06075","September","9",561
,"San Francisco County, CA","06075","October","10",602
,"San Francisco County, CA","06075","November","11",602
,"San Francisco County, CA","06075","December","12",640
"Total","San Francisco County, CA","06075",,,6930
,"San Joaquin County, CA","06077","January","1",791
,"San Joaquin County, CA","06077","February","2",796
,"San Joaquin County, CA","06077","March","3",825
,"San Joaquin County, CA","06077","April","4",741
,"San Joaquin County, CA","06077","May","5",817
,"San Joaquin County, CA","06077","June","6",747
,"San Joaquin County, CA","06077","July","7",842
,"San Joaquin County, CA","06077","August","8",849
,"San Joaquin County, CA","06077","September","9",858
,"San Joaquin County, CA","06077","October","10",791
,"San Joaquin County, CA","06077","November","11",803
,"San Joaquin County, CA","06077","December","12",815
"Total","San Joaquin County, CA","06077",,,9675
,"San Luis Obispo County, CA","06079","January","1",191
,"San Luis Obispo County, CA","06079","February","2",183
,"San Luis Obispo County, CA","06079","March","3",196
,"San Luis Obispo County, CA","06079","April","4",207
,"San Luis Obispo County, CA","06079","May","5",192
,"San Luis Obispo County, CA","06079","June","6",216
,"San Luis Obispo County, CA","06079","July","7",175
,"San Luis Obispo County, CA","06079","August","8",220
,"San Luis Obispo County, CA","06079","September","9",192
,"San Luis Obispo County, CA","06079","October","10",200
,"San Luis Obispo County, CA","06079","November","11",190
,"San Luis Obispo County, CA","06079","December","12",206
"Total","San Luis Obispo County, CA","06079",,,2368
,"San Mateo County, CA","06081","January","1",568
,"San Mateo County, CA","06081","February","2",520
,"San Mateo County, CA","06081","March","3",606
,"San Mateo County, CA","06081","April","4",577
,"San Mateo County, CA","06081","May","5",654
,"San Mateo County, CA","06081","June","6",601
,"San Mateo County, CA","06081","July","7",643
,"San Mateo County, CA","06081","August","8",661
,"San Mateo County, CA","06081","September","9",610
,"San Mateo County, CA","06081","October","10",625
,"San Mateo County, CA","06081","November","11",597
,"San Mateo County, CA","06081","December","12",626
"Total","San Mateo County, CA","06081",,,7288
,"Santa Barbara County, CA","06083","January","1",467
,"Santa Barbara County, CA","06083","February","2",432
,"Santa Barbara County, CA","06083","March","3",483
,"Santa Barbara County, CA","06083","April","4",427
,"Santa Barbara County, CA","06083","May","5",414
,"Santa Barbara County, CA","06083","June","6",459
,"Santa Barbara County, CA","06083","July","7",463
,"Santa Barbara County, CA","06083","August","8",486
,"Santa Barbara County, CA","06083","September","9",445
,"Santa Barbara County, CA","06083","October","10",433
,"Santa Barbara County, CA","06083","November","11",407
,"Santa Barbara County, CA","06083","December","12",467
"Total","Santa Barbara County, CA","06083",,,5383
,"Santa Clara County, CA","06085","January","1",1561
,"Santa Clara County, CA","06085","February","2",1415
,"Santa Clara County, CA","06085","March","3",1524
,"Santa Clara County, CA","06085","April","4",1527
,"Santa Clara County, CA","06085","May","5",1579
,"Santa Clara County, CA","06085","June","6",1472
,"Santa Clara County, CA","06085","July","7",1593
,"Santa Clara County, CA","06085","August","8",1598
,"Santa Clara County, CA","06085","September","9",1584
,"Santa Clara County, CA","06085","October","10",1713
,"Santa Clara County, CA","06085","November","11",1539
,"Santa Clara County, CA","06085","December","12",1624
"Total","Santa Clara County, CA","06085",,,18729
,"Santa Cruz County, CA","06087","January","1",154
,"Santa Cruz County, CA","06087","February","2",155
,"Santa Cruz County, CA","06087","March","3",182
,"Santa Cruz County, CA","06087","April","4",194
,"Santa Cruz County, CA","06087","May","5",191
,"Santa Cruz County, CA","06087","June","6",154
,"Santa Cruz County, CA","06087","July","7",164
,"Santa Cruz County, CA","06087","August","8",166
,"Santa Cruz County, CA","06087","September","9",172
,"Santa Cruz County, CA","06087","October","10",186
,"Santa Cruz County, CA","06087","November","11",180
,"Santa Cruz County, CA","06087","December","12",176
"Total","Santa Cruz County, CA","06087",,,2074
,"Shasta County, CA","06089","January","1",150
,"Shasta County, CA","06089","February","2",124
,"Shasta County, CA","06089","March","3",142
,"Shasta County, CA","06089","April","4",150
,"Shasta County, CA","06089","May","5",148
,"Shasta County, CA","06089","June","6",155
,"Shasta County, CA","06089","July","7",155
,"Shasta County, CA","06089","August","8",128
,"Shasta County, CA","06089","September","9",157
,"Shasta County, CA","06089","October","10",143
,"Shasta County, CA","06089","November","11",129
,"Shasta County, CA","06089","December","12",144
"Total","Shasta County, CA","06089",,,1725
,"Solano County, CA","06095","January","1",393
,"Solano County, CA","06095","February","2",354
,"Solano County, CA","06095","March","3",370
,"Solano County, CA","06095","April","4",400
,"Solano County, CA","06095","May","5",389
,"Solano County, CA","06095","June","6",359
,"Solano County, CA","06095","July","7",404
,"Solano County, CA","06095","August","8",386
,"Solano County, CA","06095","September","9",428
,"Solano County, CA","06095","October","10",388
,"Solano County, CA","06095","November","11",352
,"Solano County, CA","06095","December","12",389
"Total","Solano County, CA","06095",,,4612
,"Sonoma County, CA","06097","January","1",307
,"Sonoma County, CA","06097","February","2",341
,"Sonoma County, CA","06097","March","3",397
,"Sonoma County, CA","06097","April","4",367
,"Sonoma County, CA","06097","May","5",401
,"Sonoma County, CA","06097","June","6",353
,"Sonoma County, CA","06097","July","7",387
,"Sonoma County, CA","06097","August","8",384
,"Sonoma County, CA","06097","September","9",376
,"Sonoma County, CA","06097","October","10",382
,"Sonoma County, CA","06097","November","11",319
,"Sonoma County, CA","06097","December","12",350
"Total","Sonoma County, CA","06097",,,4364
,"Stanislaus County, CA","06099","January","1",571
,"Stanislaus County, CA","06099","February","2",554
,"Stanislaus County, CA","06099","March","3",556
,"Stanislaus County, CA","06099","April","4",534
,"Stanislaus County, CA","06099","May","5",512
,"Stanislaus County, CA","06099","June","6",541
,"Stanislaus County, CA","06099","July","7",558
,"Stanislaus County, CA","06099","August","8",655
,"Stanislaus County, CA","06099","September","9",587
,"Stanislaus County, CA","06099","October","10",589
,"Stanislaus County, CA","06099","November","11",514
,"Stanislaus County, CA","06099","December","12",548
"Total","Stanislaus County, CA","06099",,,6719
,"Tulare County, CA","06107","January","1",553
,"Tulare County, CA","06107","February","2",474
,"Tulare County, CA","06107","March","3",534
,"Tulare County, CA","06107","April","4",534
,"Tulare County, CA","06107","May","5",516
,"Tulare County, CA","06107","June","6",544
,"Tulare County, CA","06107","July","7",566
,"Tulare County, CA","06107","August","8",590
,"Tulare County, CA","06107","September","9",569
,"Tulare County, CA","06107","October","10",590
,"Tulare County, CA","06107","November","11",509
,"Tulare County, CA","06107","December","12",583
"Total","Tulare County, CA","06107",,,6562
,"Ventura County, CA","06111","January","1",693
,"Ventura County, CA","06111","February","2",653
,"Ventura County, CA","06111","March","3",681
,"Ventura County, CA","06111","April","4",688
,"Ventura County, CA","06111","May","5",692
,"Ventura County, CA","06111","June","6",660
,"Ventura County, CA","06111","July","7",714
,"Ventura County, CA","06111","August","8",796
,"Ventura County, CA","06111","September","9",716
,"Ventura County, CA","06111","October","10",771
,"Ventura County, CA","06111","November","11",688
,"Ventura County, CA","06111","December","12",667
"Total","Ventura County, CA","06111",,,8419
,"Yolo County, CA","06113","January","1",139
,"Yolo County, CA","06113","February","2",157
,"Yolo County, CA","06113","March","3",117
,"Yolo County, CA","06113","April","4",148
,"Yolo County, CA","06113","May","5",135
,"Yolo County, CA","06113","June","6",172
,"Yolo County, CA","06113","July","7",150
,"Yolo County, CA","06113","August","8",159
,"Yolo County, CA","06113","September","9",156
,"Yolo County, CA","06113","October","10",170
,"Yolo County, CA","06113","November","11",165
,"Yolo County, CA","06113","December","12",143
"Total","Yolo County, CA","06113",,,1811
,"Unidentified Counties, CA","06999","January","1",265
,"Unidentified Counties, CA","06999","February","2",231
,"Unidentified Counties, CA","06999","March","3",253
,"Unidentified Counties, CA","06999","April","4",249
,"Unidentified Counties, CA","06999","May","5",273
,"Unidentified Counties, CA","06999","June","6",265
,"Unidentified Counties, CA","06999","July","7",291
,"Unidentified Counties, CA","06999","August","8",279
,"Unidentified Counties, CA","06999","September","9",275
,"Unidentified Counties, CA","06999","October","10",265
,"Unidentified Counties, CA","06999","November","11",240
,"Unidentified Counties, CA","06999","December","12",282
"Total","Unidentified Counties, CA","06999",,,3168
,"Alachua County, FL","12001","January","1",220
,"Alachua County, FL","12001","February","2",193
,"Alachua County, FL","12001","March","3",209
,"Alachua County, FL","12001","April","4",194
,"Alachua County, FL","12001","May","5",194
,"Alachua County, FL","12001","June","6",177
,"Alachua County, FL","12001","July","7",235
,"Alachua County, FL","12001","August","8",235
,"Alachua County, FL","12001","September","9",214
,"Alachua County, FL","12001","October","10",228
,"Alachua County, FL","12001","November","11",224
,"Alachua County, FL","12001","December","12",238
"Total","Alachua County, FL","12001",,,2561
,"Bay County, FL","12005","January","1",178
,"Bay County, FL","12005","February","2",185
,"Bay County, FL","12005","March","3",175
,"Bay County, FL","12005","April","4",165
,"Bay County, FL","12005","May","5",162
,"Bay County, FL","12005","June","6",166
,"Bay County, FL","12005","July","7",183
,"Bay County, FL","12005","August","8",189
,"Bay County, FL","12005","September","9",216
,"Bay County, FL","12005","October","10",216
,"Bay County, FL","12005","November","11",183
,"Bay County, FL","12005","December","12",213
"Total","Bay County, FL","12005",,,2231
,"Brevard County, FL","12009","January","1",431
,"Brevard County, FL","12009","February","2",420
,"Brevard County, FL","12009","March","3",423
,"Brevard County, FL","12009","April","4",428
,"Brevard County, FL","12009","May","5",403
,"Brevard County, FL","12009","June","6",430
,"Brevard County, FL","12009","July","7",473
,"Brevard County, FL","12009","August","8",476
,"Brevard County, FL","12009","September","9",503
,"Brevard County, FL","12009","October","10",483
,"Brevard County, FL","12009","November","11",499
,"Brevard County, FL","12009","December","12",502
"Total","Brevard County, FL","12009",,,5471
,"Broward County, FL","12011","January","1",1708
,"Broward County, FL","12011","February","2",1622
,"Broward County, FL","12011","March","3",1628
,"Broward County, FL","12011","April","4",1555
,"Broward County, FL","12011","May","5",1559
,"Broward County, FL","12011","June","6",1520
,"Broward County, FL","12011","July","7",1691
,"Broward County, FL","12011","August","8",1800
,"Broward County, FL","12011","September","9",1778
,"Broward County, FL","12011","October","10",1819
,"Broward County, FL","12011","November","11",1670
,"Broward County, FL","12011","December","12",1774
"Total","Broward County, FL","12011",,,20124
,"Charlotte County, FL","12015","January","1",86
,"Charlotte County, FL","12015","February","2",100
,"Charlotte County, FL","12015","March","3",96
,"Charlotte County, FL","12015","April","4",107
,"Charlotte County, FL","12015","May","5",89
,"Charlotte County, FL","12015","June","6",82
,"Charlotte County, FL","12015","July","7",113
,"Charlotte County, FL","12015","August","8",110
,"Charlotte County, FL","12015","September","9",116
,"Charlotte County, FL","12015","October","10",98
,"Charlotte County, FL","12015","November","11",103
,"Charlotte County, FL","12015","December","12",107
"Total","Charlotte County, FL","12015",,,1207
,"Citrus County, FL","12017","January","1",91
,"Citrus County, FL","12017","February","2",75
,"Citrus County, FL","12017","March","3",86
,"Citrus County, FL","12017","April","4",80
,"Citrus County, FL","12017","May","5",69
,"Citrus County, FL","12017","June","6",68
,"Citrus County, FL","12017","July","7",92
,"Citrus County, FL","12017","August","8",101
,"Citrus County, FL","12017","September","9",81
,"Citrus County, FL","12017","October","10",118
,"Citrus County, FL","12017","November","11",87
,"Citrus County, FL","12017","December","12",98
"Total","Citrus County, FL","12017",,,1046
,"Clay County, FL","12019","January","1",181
,"Clay County, FL","12019","February","2",151
,"Clay County, FL","12019","March","3",210
,"Clay County, FL","12019","April","4",166
,"Clay County, FL","12019","May","5",193
,"Clay County, FL","12019","June","6",162
,"Clay County, FL","12019","July","7",208
,"Clay County, FL","12019","August","8",227
,"Clay County, FL","12019","September","9",207
,"Clay County, FL","12019","October","10",196
,"Clay County, FL","12019","November","11",205
,"Clay County, FL","12019","December","12",196
"Total","Clay County, FL","12019",,,2302
,"Collier County, FL","12021","January","1",272
,"Collier County, FL","12021","February","2",289
,"Collier County, FL","12021","March","3",282
,"Collier County, FL","12021","April","4",252
,"Collier County, FL","12021","May","5",256
,"Collier County, FL","12021","June","6",264
,"Collier County, FL","12021","July","7",325
,"Collier County, FL","12021","August","8",347
